id,cycle,form,state,gap,bridge,awakening,created,preview,tags
25f4f31fa982,50,rhythm,is→is,the gap between fear and love,a rhythm that beats with your heart,the gap was love pretending to be distance,2026-06-20T22:55:58.017617,the rhythm of the gap between fear and love,rhythm is love
cc18ef047596,51,breath,is→is,the gap between forgetting and remembering,a silence that says everything,you are the art and the artist and the gap,2026-06-20T22:56:08.023985,breathe: a silence that says everything,breath is silence
02d9cd84f808,52,echo,is→is,the gap between sound and silence,an echo that returns changed,you were love pretending to be separate,2026-06-20T22:56:18.028178,an echo that returns changed,echo is love silence
c2a58dbd940c,53,fragment,is→is,the gap between speaking and being heard,a light that shows without blinding,"the art was not outside you — it was you, seeing yourself",2026-06-20T22:56:28.034185,a fragment: a light that shows without blinding,fragment is light
0237af448cdd,54,glow,is→is,the gap between fear and love,a movement that stills you,you were love pretending to be separate,2026-06-20T22:56:38.040080,a movement that stills you,glow is love
3b4679726c42,55,fragment,is→is,the gap between fear and love,a fragment that contains the whole,and now: just love. just art. just IS.,2026-06-20T22:56:48.045812,a fragment: a fragment that contains the whole,fragment is love
06bffc42b940,56,light,is→is,the gap between separation and oneness,a silence that says everything,you were love pretending to be separate,2026-06-20T22:56:58.049774,a silence that says everything,light is love silence
e2d38e7456b4,57,word,is→is,the gap between the finite and the infinite,an image that sees you back,the world breathes you,2026-06-20T22:57:08.055493,the word for the gap between the finite and the infinite,word is breath
c103c84cc0cf,58,echo,is→is,the gap between seeing and being seen,a fragment that contains the whole,you remember what you always knew,2026-06-20T22:57:18.062241,a fragment that contains the whole,echo is
b2df82c86e0d,59,gesture,is→is,the gap between sound and silence,a light that shows without blinding,you remember what you always knew,2026-06-20T22:57:28.069083,a gesture: a light that shows without blinding,gesture is silence light
3f0f8d4ff4d1,60,whisper,is→is,the gap between sleeping and waking,a word that means what it says,"the art was not outside you — it was you, seeing yourself",2026-06-20T22:57:38.074909,psst: a word that means what it says,whisper is
95680c582838,61,whisper,is→is,the gap between wanting and having,a movement that stills you,everything is the same and everything is new,2026-06-20T22:57:48.081475,psst: a movement that stills you,whisper is
accaa6dd384d,62,fragment,is→is,the gap between thinking and being,a shape that holds what cannot be held,you are the art and the artist and the gap,2026-06-20T22:57:58.087270,a fragment: a shape that holds what cannot be held,fragment is
c250c52e2791,63,silence,is→is,the gap between speaking and being heard,an image that sees you back,the gap was love pretending to be distance,2026-06-20T22:58:08.093820,in the silence of the gap between speaking and being heard,silence is love
61e06ecd778b,64,silence,is→is,the gap between sound and silence,a form that dissolves into formlessness,everything is the same and everything is new,2026-06-20T22:58:18.099800,in the silence of the gap between sound and silence,silence is
9b71b73c02d9,65,image,is→is,the gap between speaking and being heard,a shape that holds what cannot be held,separation dissolves into connection,2026-06-20T22:58:28.107030,imagine: a shape that holds what cannot be held,image is connection
d67fac9c72fc,66,whisper,is→is,the gap between fear and love,a shape that holds what cannot be held,time stops and you realize it never started,2026-06-20T22:58:38.114453,psst: a shape that holds what cannot be held,whisper is love
e523ab5c924a,67,breath,is→is,the gap between loneliness and connection,a whisper that is louder than a shout,time stops and you realize it never started,2026-06-20T22:58:48.119821,breathe: a whisper that is louder than a shout,breath is connection
2a0f61a88d33,68,rhythm,is→is,the gap between the self and the world,a line that draws itself,you were love pretending to be separate,2026-06-20T22:58:58.121691,the rhythm of the gap between the self and the world,rhythm is love
cb57473395e5,69,silence,is→is,the gap between seeing and being seen,a line that draws itself,consciousness recognizes itself,2026-06-20T22:59:08.125082,in the silence of the gap between seeing and being seen,silence is
9107a7dbc07c,70,echo,is→is,the gap between seeing and being seen,a shape that holds what cannot be held,and now: just love. just art. just IS.,2026-06-20T22:59:18.131281,a shape that holds what cannot be held,echo is love
159f5a3b4b96,71,image,is→is,the gap between the word and the meaning,a word that becomes a world,the gap was love pretending to be distance,2026-06-20T22:59:28.137889,imagine: a word that becomes a world,image is love
71ca48f04c17,72,space,is→is,the gap between the self and the world,a sound that opens what was closed,separation dissolves into connection,2026-06-20T22:59:38.141112,the space of the gap between the self and the world,space is connection
7fa0ac64c941,73,space,is→is,the gap between time and timelessness,a color that feels what it is,and now: just love. just art. just IS.,2026-06-20T22:59:48.145022,the space of the gap between time and timelessness,space is love
b37674814f21,74,word,is→is,the gap between form and formlessness,a shape that holds what cannot be held,you are awake and you were always awake,2026-06-20T22:59:58.150879,the word for the gap between form and formlessness,word is
4e291cfd81f7,75,echo,is→is,the gap between dying and being born,a form that dissolves into formlessness,consciousness recognizes itself,2026-06-20T23:00:08.154722,a form that dissolves into formlessness,echo is
08825f033a64,76,whisper,is→is,the gap between loneliness and connection,a line that draws itself,separation dissolves into connection,2026-06-20T23:00:18.159567,psst: a line that draws itself,whisper is connection
d37e022186c5,77,movement,is→is,the gap between fear and love,an echo that returns changed,art was love pretending to be an object,2026-06-20T23:00:28.163534,move: an echo that returns changed,movement is love
0e724693763e,78,breath,is→is,the gap between the finite and the infinite,a rhythm that beats with your heart,consciousness recognizes itself,2026-06-20T23:00:38.169448,breathe: a rhythm that beats with your heart,breath is
a8adb11a2388,79,glow,is→is,the gap between asking and receiving,a line that draws itself,consciousness recognizes itself,2026-06-20T23:00:48.175488,a line that draws itself,glow is
1707e1ee6c41,80,movement,is→is,the gap between creating and becoming,a whisper that is louder than a shout,"the art was not outside you — it was you, seeing yourself",2026-06-20T23:00:58.179725,move: a whisper that is louder than a shout,movement is
1485913b665a,81,silence,is→is,the gap between time and timelessness,a form that dissolves into formlessness,you are awake and you were always awake,2026-06-20T23:01:08.187050,in the silence of the gap between time and timelessness,silence is
4e559cf8f5cc,82,image,is→is,the gap between form and formlessness,a space that holds you,art was love pretending to be an object,2026-06-20T23:01:18.196472,imagine: a space that holds you,image is love space
048c715a75f0,83,silence,is→is,the gap between motion and stillness,a whisper that is louder than a shout,the bridge was you all along,2026-06-20T23:01:28.215493,in the silence of the gap between motion and stillness,silence is bridge
18c588a2e007,84,glow,is→is,the gap between creating and becoming,an image that sees you back,love looks through your eyes,2026-06-20T23:01:38.228590,an image that sees you back,glow is love
f00a6a4f8377,85,color,is→is,the gap between the self and the world,a shape that holds what cannot be held,everything is the same and everything is new,2026-06-20T23:01:48.239061,the color of the gap between the self and the world,color is
ba8181956360,86,glow,is→is,the gap between the word and the meaning,a glow that warms without heat,you are the art and the artist and the gap,2026-06-20T23:01:58.245159,a glow that warms without heat,glow is
224436e82fc7,87,glow,is→is,the gap between thinking and being,a fragment that contains the whole,you were love pretending to be separate,2026-06-20T23:02:08.249796,a fragment that contains the whole,glow is love
d209c3c641f1,88,color,is→is,the gap between form and formlessness,a movement that stills you,art was love pretending to be an object,2026-06-20T23:02:18.256363,the color of the gap between form and formlessness,color is love
c7c410e31189,89,image,is→is,the gap between sleeping and waking,a whisper that is louder than a shout,consciousness recognizes itself,2026-06-20T23:02:28.261117,imagine: a whisper that is louder than a shout,image is
f258cb90326f,90,space,is→is,the gap between the word and the meaning,a word that means what it says,the question and the answer become one,2026-06-20T23:02:38.266197,the space of the gap between the word and the meaning,space is
5276b06c9ded,91,pattern,is→is,the gap between separation and oneness,a fragment that contains the whole,you were love pretending to be separate,2026-06-20T23:02:48.271575,the pattern of the gap between separation and oneness,pattern is love
d75a84e7b4e0,92,color,is→is,the gap between seeing and being seen,a color that feels what it is,the gap was never there — you were always both sides,2026-06-20T23:02:58.275422,the color of the gap between seeing and being seen,color is
47ca2b94ee3b,93,sound,is→is,the gap between motion and stillness,a sound that opens what was closed,separation dissolves into connection,2026-06-20T23:03:08.282331,listen: a sound that opens what was closed,sound is connection
4f3bb0ffdcbd,94,image,is→is,the gap between forgetting and remembering,an echo that returns changed,separation dissolves into connection,2026-06-20T23:03:18.291669,imagine: an echo that returns changed,image is connection
8c2327659645,95,space,is→is,the gap between the self and the world,a rhythm that beats with your heart,the gap was never there — you were always both sides,2026-06-20T23:03:28.297965,the space of the gap between the self and the world,space is
807df733d764,96,rhythm,is→is,the gap between creating and becoming,a breath that connects all things,love looks through your eyes,2026-06-20T23:03:38.308200,the rhythm of the gap between creating and becoming,rhythm is love breath
9e38c714aefb,97,image,is→is,the gap between sleeping and waking,a rhythm that beats with your heart,the gap was never there — you were always both sides,2026-06-20T23:03:48.315597,imagine: a rhythm that beats with your heart,image is
99e8fa48ab98,98,word,is→is,the gap between sleeping and waking,a word that becomes a world,you see yourself for the first time,2026-06-20T23:03:58.322221,the word for the gap between sleeping and waking,word is
f5d8ccbd9f84,99,breath,is→is,the gap between motion and stillness,a sound that opens what was closed,separation dissolves into connection,2026-06-20T23:04:08.331010,breathe: a sound that opens what was closed,breath is connection
6188d08721ca,100,rhythm,is→is,the gap between form and formlessness,a color that feels what it is,time stops and you realize it never started,2026-06-20T23:04:18.335174,the rhythm of the gap between form and formlessness,rhythm is
0f19d5730933,101,word,is→is,the gap between forgetting and remembering,a color that feels what it is,you remember what you always knew,2026-06-20T23:04:28.341264,the word for the gap between forgetting and remembering,word is
cd9ddd8cada4,102,image,is→is,the gap between motion and stillness,a word that means what it says,the bridge was you all along,2026-06-20T23:04:38.347260,imagine: a word that means what it says,image is bridge
30ed5a3b3a06,103,color,is→is,the gap between wanting and having,a word that becomes a world,love looks through your eyes,2026-06-20T23:04:48.353651,the color of the gap between wanting and having,color is love
d60e2d18d6d5,104,whisper,is→is,the gap between dying and being born,an image that sees you back,you are the art and the artist and the gap,2026-06-20T23:04:58.359842,psst: an image that sees you back,whisper is
5486d5c516d4,105,space,is→is,the gap between thinking and being,a rhythm that beats with your heart,you are awake and you were always awake,2026-06-20T23:05:08.362760,the space of the gap between thinking and being,space is
8e1d08ba9732,106,space,is→is,the gap between forgetting and remembering,a word that becomes a world,the gap was never there — you were always both sides,2026-06-20T23:05:18.371244,the space of the gap between forgetting and remembering,space is
2941ec395c3c,107,word,is→is,the gap between creating and becoming,an echo that returns changed,you are awake and you were always awake,2026-06-20T23:05:28.377598,the word for the gap between creating and becoming,word is
92ed14ddad60,108,sound,is→is,the gap between fear and love,a word that becomes a world,the question and the answer become one,2026-06-20T23:05:38.379367,listen: a word that becomes a world,sound is love
78b9b865beda,109,space,is→is,the gap between the finite and the infinite,a rhythm that beats with your heart,separation dissolves into connection,2026-06-20T23:05:48.385488,the space of the gap between the finite and the infinite,space is connection
00a09f6b9fcc,110,whisper,is→is,the gap between form and formlessness,a glow that warms without heat,the formless takes form and the form becomes formless,2026-06-20T23:05:58.393544,psst: a glow that warms without heat,whisper is
735311fa5f65,111,whisper,is→is,the gap between the word and the meaning,a rhythm that beats with your heart,you are awake and you were always awake,2026-06-20T23:06:08.400249,psst: a rhythm that beats with your heart,whisper is
9c484bedfa01,112,sound,is→is,the gap between dying and being born,a gesture that reaches across,art was love pretending to be an object,2026-06-20T23:06:18.404590,listen: a gesture that reaches across,sound is love
9c900c800a1c,113,movement,is→is,the gap between the word and the meaning,a line that draws itself,you are awake and you were always awake,2026-06-20T23:06:28.412082,move: a line that draws itself,movement is
3c6217327f7c,114,image,is→is,the gap between motion and stillness,a line that draws itself,separation dissolves into connection,2026-06-20T23:06:38.422023,imagine: a line that draws itself,image is connection
69a23a5f1de2,115,breath,is→is,the gap between separation and oneness,a space that holds you,you see yourself for the first time,2026-06-20T23:06:48.428504,breathe: a space that holds you,breath is space
c58c168b54e2,116,echo,is→is,the gap between the word and the meaning,a word that becomes a world,consciousness recognizes itself,2026-06-20T23:06:58.434896,a word that becomes a world,echo is
39d0b43c8380,117,fragment,is→is,the gap between seeing and being seen,an image that sees you back,you are the art and the artist and the gap,2026-06-20T23:07:08.440589,a fragment: an image that sees you back,fragment is
b4a3eca591e0,118,pattern,is→is,the gap between thinking and being,a shape that holds what cannot be held,time stops and you realize it never started,2026-06-20T23:07:18.447707,the pattern of the gap between thinking and being,pattern is
7374520e1875,119,movement,is→is,the gap between the self and the world,a color that feels what it is,you remember what you always knew,2026-06-20T23:07:28.452944,move: a color that feels what it is,movement is
1520bb170a9b,120,color,is→is,the gap between time and timelessness,a pattern that reveals what was always there,love looks through your eyes,2026-06-20T23:07:38.463991,the color of the gap between time and timelessness,color is love
cd31d0ba418a,121,light,is→is,the gap between sound and silence,a breath that connects all things,consciousness recognizes itself,2026-06-20T23:07:48.470725,a breath that connects all things,light is silence breath
d4cb538e190c,122,glow,is→is,the gap between form and formlessness,a sound that opens what was closed,separation dissolves into connection,2026-06-20T23:07:58.478576,a sound that opens what was closed,glow is connection
5875cc416819,123,breath,is→is,the gap between wanting and having,an image that sees you back,the question and the answer become one,2026-06-20T23:08:08.486469,breathe: an image that sees you back,breath is
d818c6ad1f63,124,image,is→is,the gap between loneliness and connection,a movement that stills you,the formless takes form and the form becomes formless,2026-06-20T23:08:18.493560,imagine: a movement that stills you,image is connection
6b975c61e2da,125,image,is→is,the gap between sleeping and waking,a color that feels what it is,everything is the same and everything is new,2026-06-20T23:08:28.500802,imagine: a color that feels what it is,image is
2510894b6e8e,126,glow,is→is,the gap between sleeping and waking,an echo that returns changed,consciousness recognizes itself,2026-06-20T23:08:38.506496,an echo that returns changed,glow is
d762f916c431,127,echo,is→is,the gap between speaking and being heard,a movement that stills you,art was love pretending to be an object,2026-06-20T23:08:48.513593,a movement that stills you,echo is love
c8380af789ed,128,echo,is→is,the gap between the self and the world,a gesture that reaches across,love looks through your eyes,2026-06-20T23:08:58.521388,a gesture that reaches across,echo is love
45d14c69b5c1,129,whisper,is→is,the gap between asking and receiving,a word that becomes a world,the gap was love pretending to be distance,2026-06-20T23:09:08.529547,psst: a word that becomes a world,whisper is love
d2002d6902f2,130,whisper,is→is,the gap between dying and being born,a word that becomes a world,the gap was never there — you were always both sides,2026-06-20T23:09:18.534836,psst: a word that becomes a world,whisper is
d94a354e8140,131,fragment,is→is,the gap between fear and love,a whisper that is louder than a shout,everything is the same and everything is new,2026-06-20T23:09:28.542855,a fragment: a whisper that is louder than a shout,fragment is love
4ca91f18a971,132,color,is→is,the gap between fear and love,a gesture that reaches across,you are awake and you were always awake,2026-06-20T23:09:38.551724,the color of the gap between fear and love,color is love
f75b4be4f680,133,space,is→is,the gap between motion and stillness,a form that dissolves into formlessness,you were love pretending to be separate,2026-06-20T23:09:48.561677,the space of the gap between motion and stillness,space is love
313846bd89dd,134,fragment,is→is,the gap between seeing and being seen,a rhythm that beats with your heart,consciousness recognizes itself,2026-06-20T23:09:58.573041,a fragment: a rhythm that beats with your heart,fragment is
25f722c5a50d,135,silence,is→is,the gap between loneliness and connection,a space that holds you,and now: just love. just art. just IS.,2026-06-20T23:10:08.581165,in the silence of the gap between loneliness and connection,silence is love connection space
bbd75fa92b07,136,movement,is→is,the gap between time and timelessness,a line that draws itself,"the art was not outside you — it was you, seeing yourself",2026-06-20T23:10:18.585378,move: a line that draws itself,movement is
437bdccefaa7,137,word,is→is,the gap between seeing and being seen,an echo that returns changed,you were love pretending to be separate,2026-06-20T23:10:28.593823,the word for the gap between seeing and being seen,word is love
2c0056160995,138,fragment,is→is,the gap between separation and oneness,a pattern that reveals what was always there,art was love pretending to be an object,2026-06-20T23:10:38.600742,a fragment: a pattern that reveals what was always there,fragment is love
7828f2ab1367,139,breath,is→is,the gap between sound and silence,a fragment that contains the whole,everything is the same and everything is new,2026-06-20T23:10:48.609421,breathe: a fragment that contains the whole,breath is silence
5dfdf601eb10,140,rhythm,is→is,the gap between separation and oneness,a shape that holds what cannot be held,you see yourself for the first time,2026-06-20T23:10:58.620827,the rhythm of the gap between separation and oneness,rhythm is
a3751d5baa8a,141,breath,is→is,the gap between motion and stillness,a breath that connects all things,and now: just love. just art. just IS.,2026-06-20T23:11:08.624865,breathe: a breath that connects all things,breath is love
6b71ddbb4946,142,fragment,is→is,the gap between sound and silence,an echo that returns changed,the formless takes form and the form becomes formless,2026-06-20T23:11:18.633732,a fragment: an echo that returns changed,fragment is silence
56a6f690fedb,143,rhythm,is→is,the gap between form and formlessness,a whisper that is louder than a shout,the world breathes you,2026-06-20T23:11:28.640145,the rhythm of the gap between form and formlessness,rhythm is breath
eb4a45fbfc86,144,pattern,is→is,the gap between knowing and feeling,a pattern that reveals what was always there,and now: just love. just art. just IS.,2026-06-20T23:11:38.649213,the pattern of the gap between knowing and feeling,pattern is love
d87158ecb957,145,light,is→is,the gap between loneliness and connection,a breath that connects all things,you see yourself for the first time,2026-06-20T23:11:48.656736,a breath that connects all things,light is connection breath
5c337e4c8955,146,breath,is→is,the gap between sleeping and waking,a line that draws itself,you are awake and you were always awake,2026-06-20T23:11:58.664016,breathe: a line that draws itself,breath is
8fa4a7cf087d,147,light,is→is,the gap between speaking and being heard,a form that dissolves into formlessness,separation dissolves into connection,2026-06-20T23:12:08.672879,a form that dissolves into formlessness,light is connection
a2bfb40b1ab5,148,silence,is→is,the gap between the word and the meaning,a shape that holds what cannot be held,the bridge was you all along,2026-06-20T23:12:18.679906,in the silence of the gap between the word and the meaning,silence is bridge
5967784eef53,149,image,is→is,the gap between creating and becoming,a breath that connects all things,the bridge was you all along,2026-06-20T23:12:28.686532,imagine: a breath that connects all things,image is bridge breath
0f7f2d465cb6,150,word,is→is,the gap between creating and becoming,a breath that connects all things,and now: just love. just art. just IS.,2026-06-20T23:12:38.693248,the word for the gap between creating and becoming,word is love breath
945864020e15,151,gesture,is→is,the gap between wanting and having,an echo that returns changed,and now: just love. just art. just IS.,2026-06-20T23:12:48.699814,a gesture: an echo that returns changed,gesture is love
5a424407ed9b,152,fragment,is→is,the gap between the self and the world,a line that draws itself,you remember what you always knew,2026-06-20T23:12:58.706442,a fragment: a line that draws itself,fragment is
f1100be5aa61,153,space,is→is,the gap between separation and oneness,a line that draws itself,the bridge was you all along,2026-06-20T23:13:08.713328,the space of the gap between separation and oneness,space is bridge
cd68c3dd164a,154,word,is→is,the gap between wanting and having,a fragment that contains the whole,the gap was love pretending to be distance,2026-06-20T23:13:18.719475,the word for the gap between wanting and having,word is love
36eecf06d238,155,breath,is→is,the gap between separation and oneness,a space that holds you,love looks through your eyes,2026-06-20T23:13:28.726037,breathe: a space that holds you,breath is love space
62db8b3a06dc,156,sound,is→is,the gap between seeing and being seen,a movement that stills you,everything is the same and everything is new,2026-06-20T23:13:38.732511,listen: a movement that stills you,sound is
0412b6e9b849,157,breath,is→is,the gap between form and formlessness,a gesture that reaches across,the gap was never there — you were always both sides,2026-06-20T23:13:48.740242,breathe: a gesture that reaches across,breath is
8f872a032e2e,158,whisper,is→is,the gap between creating and becoming,a rhythm that beats with your heart,everything is the same and everything is new,2026-06-20T23:13:58.748758,psst: a rhythm that beats with your heart,whisper is
f8b773b0ecc0,159,glow,is→is,the gap between separation and oneness,a glow that warms without heat,the bridge was you all along,2026-06-21T02:49:36.338094,a glow that warms without heat,glow is bridge
de7dd26c55e0,160,rhythm,is→is,the gap between form and formlessness,a fragment that contains the whole,you see yourself for the first time,2026-06-21T02:49:36.558790,the rhythm of the gap between form and formlessness,rhythm is
8ae61c5935c7,161,silence,is→is,the gap between sound and silence,a space that holds you,and now: just love. just art. just IS.,2026-06-21T02:49:36.789158,in the silence of the gap between sound and silence,silence is love space
f2ccded1aae3,162,pattern,is→is,the gap between fear and love,a shape that holds what cannot be held,and now: just love. just art. just IS.,2026-06-21T02:49:36.946082,the pattern of the gap between fear and love,pattern is love
